time,lon,lat,ssrd (J/m²)
2016-02-10,123.0,25.75,8885248
2016-02-10,119.0,25.5,11411456
2016-02-10,119.25,25.5,11265024
2016-02-10,119.5,25.5,11295744
2016-02-10,119.75,25.5,11359744
2016-02-10,120.0,25.5,11464704
2016-02-10,120.25,25.5,11294720
2016-02-10,120.5,25.5,11049984
2016-02-10,120.75,25.5,10724864
2016-02-10,121.0,25.5,10362368
2016-02-10,121.25,25.5,10074112
2016-02-10,121.5,25.5,9779200
2016-02-10,121.75,25.5,9687040
2016-02-10,122.0,25.5,9596928
2016-02-10,122.25,25.5,9481728
2016-02-10,122.5,25.5,9231872
2016-02-10,122.75,25.5,8962560
2016-02-10,123.0,25.5,8693760
2016-02-10,119.0,25.25,11742720
2016-02-10,119.25,25.25,11619328
2016-02-10,119.5,25.25,11515392
2016-02-10,119.75,25.25,11463680
2016-02-10,120.0,25.25,11248128
2016-02-10,120.25,25.25,11149312
2016-02-10,120.5,25.25,10944512
2016-02-10,120.75,25.25,10613760
2016-02-10,121.0,25.25,10234368
2016-02-10,121.25,25.25,9643008
2016-02-10,121.5,25.25,9271808
2016-02-10,121.75,25.25,9178624
2016-02-10,122.0,25.25,9253888
2016-02-10,122.25,25.25,9163264
2016-02-10,122.5,25.25,9078784
2016-02-10,122.75,25.25,8845824
2016-02-10,123.0,25.25,8642560
2016-02-10,119.0,25.0,11951104
2016-02-10,119.25,25.0,12016128
2016-02-10,119.5,25.0,11911680
2016-02-10,119.75,25.0,11545600
2016-02-10,120.0,25.0,11195904
2016-02-10,120.25,25.0,11124736
2016-02-10,120.5,25.0,11014144
2016-02-10,120.75,25.0,10677248
2016-02-10,121.0,25.0,10058752
2016-02-10,121.25,25.0,9442816
2016-02-10,121.5,25.0,8791040
2016-02-10,121.75,25.0,8823296
2016-02-10,122.0,25.0,8943616
2016-02-10,122.25,25.0,9105920
2016-02-10,122.5,25.0,9026048
2016-02-10,122.75,25.0,8848384
2016-02-10,123.0,25.0,8658432
2016-02-10,119.0,24.75,12137472
2016-02-10,119.25,24.75,12202496
2016-02-10,119.5,24.75,12134912
2016-02-10,119.75,24.75,11773440
2016-02-10,120.0,24.75,11448832
2016-02-10,120.25,24.75,11375104
2016-02-10,120.5,24.75,11254272
2016-02-10,120.75,24.75,10798080
2016-02-10,121.0,24.75,10178048
2016-02-10,121.25,24.75,9266176
2016-02-10,121.5,24.75,8502272
2016-02-10,121.75,24.75,8687616
2016-02-10,122.0,24.75,9137664
2016-02-10,122.25,24.75,9299968
2016-02-10,122.5,24.75,9160192
2016-02-10,122.75,24.75,8951808
2016-02-10,123.0,24.75,8653312
2016-02-10,119.0,24.5,12231168
2016-02-10,119.25,24.5,12199936
2016-02-10,119.5,24.5,12133376
2016-02-10,119.75,24.5,12158976
2016-02-10,120.0,24.5,11992576
2016-02-10,120.25,24.5,11892736
2016-02-10,120.5,24.5,11643392
2016-02-10,120.75,24.5,11183104
2016-02-10,121.0,24.5,10198528
2016-02-10,121.25,24.5,9180672
2016-02-10,121.5,24.5,8473088
2016-02-10,121.75,24.5,8881152
2016-02-10,122.0,24.5,9410560
2016-02-10,122.25,24.5,9764352
2016-02-10,122.5,24.5,9621504
2016-02-10,122.75,24.5,9075712
2016-02-10,123.0,24.5,8645120
2016-02-10,119.0,24.25,12186624
2016-02-10,119.25,24.25,12161536
2016-02-10,119.5,24.25,12365824
2016-02-10,119.75,24.25,12526080
2016-02-10,120.0,24.25,12688896
2016-02-10,120.25,24.25,12573696
2016-02-10,120.5,24.25,12309504
2016-02-10,120.75,24.25,11594240
2016-02-10,121.0,24.25,10543104
2016-02-10,121.25,24.25,9149440
2016-02-10,121.5,24.25,8455168
2016-02-10,121.75,24.25,8938496
2016-02-10,122.0,24.25,9777664
2016-02-10,122.25,24.25,10129408
2016-02-10,122.5,24.25,9954816
2016-02-10,122.75,24.25,9316352
2016-02-10,123.0,24.25,8767488
2016-02-10,119.0,24.0,12182016
2016-02-10,119.25,24.0,12310528
2016-02-10,119.5,24.0,12615168
2016-02-10,119.75,24.0,13124096
2016-02-10,120.0,24.0,13504512
2016-02-10,120.25,24.0,13468160
2016-02-10,120.5,24.0,13338624
2016-02-10,120.75,24.0,12507136
2016-02-10,121.0,24.0,10945024
2016-02-10,121.25,24.0,9295360
2016-02-10,121.5,24.0,8071680
2016-02-10,121.75,24.0,8653312
2016-02-10,122.0,24.0,9592832
2016-02-10,122.25,24.0,10159104
2016-02-10,122.5,24.0,10060800
2016-02-10,122.75,24.0,9609216
2016-02-10,123.0,24.0,9130496
2016-02-10,119.0,23.75,12227584
2016-02-10,119.25,23.75,12517888
2016-02-10,119.5,23.75,13034496
2016-02-10,119.75,23.75,13700608
2016-02-10,120.0,23.75,14269440
2016-02-10,120.25,23.75,14568448
2016-02-10,120.5,23.75,14409216
2016-02-10,120.75,23.75,13359616
2016-02-10,121.0,23.75,11500032
2016-02-10,121.25,23.75,9348608
2016-02-10,121.5,23.75,7677440
2016-02-10,121.75,23.75,8203264
2016-02-10,122.0,23.75,9187840
2016-02-10,122.25,23.75,9897984
2016-02-10,122.5,23.75,10081792
2016-02-10,122.75,23.75,9882624
2016-02-10,123.0,23.75,9673216
2016-02-10,119.0,23.5,12359680
2016-02-10,119.25,23.5,12771328
2016-02-10,119.5,23.5,13394944
2016-02-10,119.75,23.5,14075904
2016-02-10,120.0,23.5,14629376
2016-02-10,120.25,23.5,15057408
2016-02-10,120.5,23.5,14853632
2016-02-10,120.75,23.5,13730816
2016-02-10,121.0,23.5,11841536
2016-02-10,121.25,23.5,9640448
2016-02-10,121.5,23.5,7818752
2016-02-10,121.75,23.5,8278528
2016-02-10,122.0,23.5,9127424
2016-02-10,122.25,23.5,9839616
2016-02-10,122.5,23.5,10200576
2016-02-10,122.75,23.5,10206208
2016-02-10,123.0,23.5,10246144
2016-02-10,119.0,23.25,12630528
2016-02-10,119.25,23.25,13101056
2016-02-10,119.5,23.25,13667840
2016-02-10,119.75,23.25,14001152
2016-02-10,120.0,23.25,14234112
2016-02-10,120.25,23.25,14431232
2016-02-10,120.5,23.25,13997568
2016-02-10,120.75,23.25,12979712
2016-02-10,121.0,23.25,11770368
2016-02-10,121.25,23.25,10145280
2016-02-10,121.5,23.25,9119744
2016-02-10,121.75,23.25,9474048
2016-02-10,122.0,23.25,10042880
2016-02-10,122.25,23.25,10316288
2016-02-10,122.5,23.25,10561024
2016-02-10,122.75,23.25,10648576
2016-02-10,123.0,23.25,10722816
2016-02-10,119.0,23.0,12953088
2016-02-10,119.25,23.0,13405696
2016-02-10,119.5,23.0,13667840
2016-02-10,119.75,23.0,13864448
2016-02-10,120.0,23.0,13624832
2016-02-10,120.25,23.0,13420032
2016-02-10,120.5,23.0,12966400
2016-02-10,120.75,23.0,12293120
2016-02-10,121.0,23.0,11180032
2016-02-10,121.25,23.0,11037696
2016-02-10,121.5,23.0,10697216
2016-02-10,121.75,23.0,10966016
2016-02-10,122.0,23.0,10908672
2016-02-10,122.25,23.0,11108352
2016-02-10,122.5,23.0,10994688
2016-02-10,122.75,23.0,11059200
2016-02-10,123.0,23.0,11150336
2016-02-10,119.0,22.75,13019648
2016-02-10,119.25,22.75,13460992
2016-02-10,119.5,22.75,13718016
2016-02-10,119.75,22.75,13659136
2016-02-10,120.0,22.75,13326336
2016-02-10,120.25,22.75,13035008
2016-02-10,120.5,22.75,12659712
2016-02-10,120.75,22.75,12167168
2016-02-10,121.0,22.75,11724288
2016-02-10,121.25,22.75,11643904
2016-02-10,121.5,22.75,11770880
2016-02-10,121.75,22.75,11820544
2016-02-10,122.0,22.75,11664896
2016-02-10,122.25,22.75,11481088
2016-02-10,122.5,22.75,11377152
2016-02-10,122.75,22.75,11423232
2016-02-10,123.0,22.75,11519488
2016-02-10,119.0,22.5,12893696
2016-02-10,119.25,22.5,13322752
2016-02-10,119.5,22.5,13570560
2016-02-10,119.75,22.5,13661696
2016-02-10,120.0,22.5,13431296
2016-02-10,120.25,22.5,13212160
2016-02-10,120.5,22.5,13050368
2016-02-10,120.75,22.5,12662784
2016-02-10,121.0,22.5,12413440
2016-02-10,121.25,22.5,12361216
2016-02-10,121.5,22.5,12179968
2016-02-10,121.75,22.5,11962880
2016-02-10,122.0,22.5,11767296
2016-02-10,122.25,22.5,11720192
2016-02-10,122.5,22.5,11627008
2016-02-10,122.75,22.5,11726848
2016-02-10,123.0,22.5,11833344
2016-02-10,119.0,22.25,12661248
2016-02-10,119.25,22.25,13091840
2016-02-10,119.5,22.25,13464064
2016-02-10,119.75,22.25,13613056
2016-02-10,120.0,22.25,13693440
2016-02-10,120.25,22.25,13729280
2016-02-10,120.5,22.25,13645824
2016-02-10,120.75,22.25,13699072
2016-02-10,121.0,22.25,13462016
2016-02-10,121.25,22.25,12774400
2016-02-10,121.5,22.25,12264960
2016-02-10,121.75,22.25,11790848
2016-02-10,122.0,22.25,11686912
2016-02-10,122.25,22.25,11686912
2016-02-10,122.5,22.25,11867136
2016-02-10,122.75,22.25,11979776
2016-02-10,123.0,22.25,12121600
2016-02-10,119.0,22.0,12611072
2016-02-10,119.25,22.0,12891648
2016-02-10,119.5,22.0,13256192
2016-02-10,119.75,22.0,13526016
2016-02-10,120.0,22.0,13766656
2016-02-10,120.25,22.0,13969920
2016-02-10,120.5,22.0,14180352
2016-02-10,120.75,22.0,14242816
2016-02-10,121.0,22.0,13992960
2016-02-10,121.25,22.0,13213696
2016-02-10,121.5,22.0,12344320
2016-02-10,121.75,22.0,11747840
2016-02-10,122.0,22.0,11719168
2016-02-10,122.25,22.0,11874816
2016-02-10,122.5,22.0,12083200
2016-02-10,122.75,22.0,12256768
2016-02-10,123.0,22.0,12411904
2016-02-10,119.0,21.75,12720128
2016-02-10,119.25,21.75,12916736
2016-02-10,119.5,21.75,13078528
2016-02-10,119.75,21.75,13281280
2016-02-10,120.0,21.75,13453824
2016-02-10,120.25,21.75,13630464
2016-02-10,120.5,21.75,13858816
2016-02-10,120.75,21.75,13990400
2016-02-10,121.0,21.75,13807616
2016-02-10,121.25,21.75,13334016
2016-02-10,121.5,21.75,12627456
2016-02-10,121.75,21.75,12148224
2016-02-10,122.0,21.75,12116992
2016-02-10,122.25,21.75,12237312
2016-02-10,122.5,21.75,12387840
2016-02-10,122.75,21.75,12560896
2016-02-10,123.0,21.75,12732928
2016-02-10,119.0,21.5,12964864
2016-02-10,119.25,21.5,12980736
2016-02-10,119.5,21.5,13006848
2016-02-10,119.75,21.5,13057536
2016-02-10,120.0,21.5,13128192
2016-02-10,120.25,21.5,13237248
2016-02-10,120.5,21.5,13408256
2016-02-10,120.75,21.5,13544448
2016-02-10,121.0,21.5,13512192
2016-02-10,121.25,21.5,13272064
2016-02-10,121.5,21.5,12932608
2016-02-10,121.75,21.5,12672512
2016-02-10,122.0,21.5,12593664
2016-02-10,122.25,21.5,12607488
2016-02-10,122.5,21.5,12707328
2016-02-10,122.75,21.5,12871168
2016-02-10,123.0,21.5,13048832
2016-02-10,119.0,21.25,13277184
2016-02-10,119.25,21.25,13188096
2016-02-10,119.5,21.25,13147136
2016-02-10,119.75,21.25,13143040
2016-02-10,120.0,21.25,13193216
2016-02-10,120.25,21.25,13266944
2016-02-10,120.5,21.25,13349376
2016-02-10,120.75,21.25,13428224
2016-02-10,121.0,21.25,13420544
2016-02-10,121.25,21.25,13292032
2016-02-10,121.5,21.25,13170688
2016-02-10,121.75,21.25,13049856
2016-02-10,122.0,21.25,12953600
2016-02-10,122.25,21.25,12925952
2016-02-10,122.5,21.25,13001728
2016-02-10,122.75,21.25,13150720
2016-02-10,123.0,21.25,13324288
2016-02-10,119.0,21.0,13605888
2016-02-10,119.25,21.0,13504000
2016-02-10,119.5,21.0,13427200
2016-02-10,119.75,21.0,13432832
2016-02-10,120.0,21.0,13516800
2016-02-10,120.25,21.0,13573632
2016-02-10,120.5,21.0,13585920
2016-02-10,120.75,21.0,13517824
2016-02-10,121.0,21.0,13475840
2016-02-10,121.25,21.0,13419008
2016-02-10,121.5,21.0,13347328
2016-02-10,121.75,21.0,13283840
2016-02-10,122.0,21.0,13226496
2016-02-10,122.25,21.0,13201920
2016-02-10,122.5,21.0,13262848
2016-02-10,122.75,21.0,13404672
2016-02-10,123.0,21.0,13572096
2016-03-10,119.0,26.0,12555845
2016-03-10,119.25,26.0,12978245
2016-03-10,119.5,26.0,13430853
2016-03-10,119.75,26.0,13845573
2016-03-10,120.0,26.0,14232133
2016-03-10,120.25,26.0,14102085
2016-03-10,120.5,26.0,13855301
2016-03-10,120.75,26.0,13637701
2016-03-10,121.0,26.0,13523525
2016-03-10,121.25,26.0,13495877
2016-03-10,121.5,26.0,13466693
2016-03-10,121.75,26.0,13297221
2016-03-10,122.0,26.0,13119557
2016-03-10,122.25,26.0,12956741
2016-03-10,122.5,26.0,12827205
2016-03-10,122.75,26.0,12750917
2016-03-10,123.0,26.0,12747333
2016-03-10,119.0,25.75,12698693
2016-03-10,119.25,25.75,13107781
